"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"6818";"1";"13";"10092";"2024-1";"2024 Gasolina"
"6819";"1";"13";"10092";"2023-1";"2023 Gasolina"
"6820";"1";"22";"8402";"2019-1";"2019 Gasolina"
"6821";"1";"13";"10093";"32000-1";"32000 Gasolina"
"6822";"1";"13";"10093";"2024-1";"2024 Gasolina"
"6823";"1";"13";"10093";"2023-1";"2023 Gasolina"
"6824";"1";"22";"8440";"2020-1";"2020 Gasolina"
"6825";"1";"22";"8440";"2019-1";"2019 Gasolina"
"6826";"1";"13";"10094";"2023-1";"2023 Gasolina"
"6827";"1";"22";"8441";"2019-1";"2019 Gasolina"
"6828";"1";"13";"10095";"2023-1";"2023 Gasolina"
"6829";"1";"22";"8442";"2021-1";"2021 Gasolina"
"6830";"1";"22";"8442";"2020-1";"2020 Gasolina"
"6831";"1";"22";"8442";"2019-1";"2019 Gasolina"
"6832";"1";"13";"290";"2012-1";"2012 Gasolina"
"6833";"1";"13";"290";"2011-1";"2011 Gasolina"
"6834";"1";"13";"290";"2010-1";"2010 Gasolina"
"6835";"1";"13";"290";"2009-1";"2009 Gasolina"
"6836";"1";"13";"290";"2008-1";"2008 Gasolina"
"6837";"1";"13";"290";"2007-1";"2007 Gasolina"
"6838";"1";"13";"290";"2006-1";"2006 Gasolina"
"6839";"1";"13";"290";"2005-1";"2005 Gasolina"
"6840";"1";"13";"290";"2004-1";"2004 Gasolina"
"6841";"1";"13";"290";"2003-1";"2003 Gasolina"
"6842";"1";"22";"8443";"2021-1";"2021 Gasolina"
"6843";"1";"22";"8443";"2020-1";"2020 Gasolina"
"6844";"1";"22";"8443";"2019-1";"2019 Gasolina"
"6845";"1";"22";"6916";"2018-1";"2018 Gasolina"
"6846";"1";"22";"6916";"2017-1";"2017 Gasolina"
"6847";"1";"22";"6916";"2016-1";"2016 Gasolina"
"6848";"1";"22";"6916";"2015-1";"2015 Gasolina"
"6849";"1";"13";"4762";"2010-1";"2010 Gasolina"
"6850";"1";"13";"4762";"2009-1";"2009 Gasolina"
"6851";"1";"22";"8444";"2020-1";"2020 Gasolina"
"6852";"1";"22";"8444";"2019-1";"2019 Gasolina"
